"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","72","54","0","2007","A","","Alabama -- Statewide","Federal Government","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",6,607,10789014,0,0,342,17765,"",1.52,2.74,2.82,0.00,0.00,1.03,1.03,"",1,20.0,-27,-4.3,962980,9.8,0,0.0,0,0.0,44,14.8,2260,14.6
"01000","3","72","54","0","2007","A","","Alabama -- Statewide","Local Government","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",187,1635,25458587,136214,3678,299,15572,"",21.23,2.10,1.47,0.05,0.09,0.70,0.70,"",-3,-1.6,54,3.4,3455336,15.7,136214,100.0,3678,100.0,31,11.6,1652,11.9
"01000","5","72","54","0","2007","A","","Alabama -- Statewide","Private","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",8050,156432,1951436179,1184965225,13727675,240,12475,"",1.00,0.95,0.86,0.97,1.03,0.90,0.90,"",220,2.8,3732,2.4,107742132,5.8,56259295,5.0,184646,1.4,8,3.4,401,3.3
"01001","3","72","74","0","2007","A","N","Autauga County, Alabama","Local Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",15.51,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","72","74","0","2007","A","","Autauga County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",69,1494,16767771,10850534,84158,216,11225,"",1.17,1.56,1.57,1.70,1.36,1.01,1.01,"",1,1.5,-132,-8.1,-3266218,-16.3,-1343782,-11.0,-21041,-20.0,-21,-8.9,-1094,-8.9
"01003","5","72","74","0","2007","A","","Baldwin County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",403,8344,125356685,70150385,810566,289,15023,"",1.13,1.59,2.15,1.71,2.16,1.35,1.36,"",28,7.5,590,7.6,13713238,12.3,5275673,8.1,39151,5.1,12,4.3,624,4.3
"01005","5","72","74","0","2007","A","","Barbour County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",40,598,5701916,3796318,37189,183,9530,"",0.94,0.66,0.60,0.54,0.47,0.90,0.90,"",-3,-7.0,-104,-14.8,-483977,-7.8,-242967,-6.0,-10727,-22.4,14,8.3,717,8.1
"01007","3","72","74","0","2007","A","N","Bibb County, Alabama","Local Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",37.05,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","72","74","0","2007","A","","Bibb County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",20,250,2610365,1837667,26846,201,10435,"",0.81,0.70,0.66,0.80,1.05,0.94,0.94,"",1,5.3,-31,-11.0,-69785,-2.6,18281,1.0,2553,10.5,18,9.8,897,9.4
"01009","5","72","74","0","2007","A","","Blount County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",44,640,6740971,4811466,62019,203,10540,"",0.81,0.84,0.85,0.93,1.28,1.02,1.02,"",1,2.3,98,18.1,1115984,19.8,1013536,26.7,23944,62.9,3,1.5,152,1.5
"01011","5","72","74","0","2007","A","","Bullock County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",7,88,890307,560943,6802,195,10165,"",0.67,0.35,0.33,0.34,0.40,0.95,0.95,"N",-1,-12.5,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","72","74","0","2007","A","N","Butler County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",39,0,0,0,0,0,0,"N",1.14,0,0,0,0,0,0,"N",5,14.7,0,0,0,0,0,0,0,0,0,0,0,0
