"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","72","54","0","2018","A","","Alabama -- Statewide","Federal Government","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",11,393,7828057,0,0,383,19910,"",2.16,3.01,2.81,0.00,0.00,0.93,0.93,"",1,10.0,-3,-0.8,390237,5.2,0,0.0,0,0.0,22,6.1,1132,6.0
"01000","2","72","54","0","2018","A","N","Alabama -- Statewide","State Government","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",4.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","72","54","0","2018","A","","Alabama -- Statewide","Local Government","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",151,1123,24773273,18417,108,424,22065,"",17.17,0.84,0.60,0.00,0.00,0.72,0.72,"",-3,-1.9,-70,-5.9,-555796,-2.2,-204595,-91.7,-2712,-96.2,16,3.9,825,3.9
"01000","5","72","54","0","2018","A","","Alabama -- Statewide","Private","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",9698,184917,3069159498,1613151551,16856497,319,16598,"",1.07,1.00,0.93,1.09,1.08,0.93,0.93,"",210,2.2,2243,1.2,143752705,4.9,44738386,2.9,-630117,-3.6,11,3.6,584,3.6
"01001","3","72","74","0","2018","A","N","Autauga County, Alabama","Local Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",16.61,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","72","74","0","2018","A","","Autauga County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",74,1290,18154593,10351012,90636,271,14073,"",1.19,1.24,1.21,1.43,1.27,0.97,0.97,"",0,0.0,-28,-2.1,63296,0.3,-84603,-0.8,3431,3.9,7,2.7,348,2.5
"01003","5","72","74","0","2018","A","","Baldwin County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",609,13605,276141849,130742557,1553897,390,20297,"",1.36,1.94,2.84,2.19,2.83,1.46,1.47,"",8,1.3,-151,-1.1,10851260,4.1,958032,0.7,-98005,-5.9,19,5.1,1011,5.2
"01005","5","72","74","0","2018","A","","Barbour County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",54,634,8530676,5269336,51076,259,13457,"",1.37,0.83,0.77,0.86,0.78,0.93,0.94,"",1,1.9,2,0.3,393908,4.8,131210,2.6,-4660,-8.4,11,4.4,584,4.5
"01007","5","72","74","0","2018","A","","Bibb County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",15,230,3272690,1804019,21325,274,14224,"",0.56,0.58,0.54,0.66,0.62,0.94,0.94,"",0,0.0,3,1.3,-123579,-3.6,-96200,-5.1,-8286,-28.0,-13,-4.5,-716,-4.8
"01009","5","72","74","0","2018","A","","Blount County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",48,791,9946492,5868572,56888,242,12580,"",0.86,0.98,0.92,1.00,1.11,0.94,0.94,"",1,2.1,59,8.1,312312,3.2,75915,1.3,-2095,-3.6,-11,-4.3,-580,-4.4
"01011","5","72","74","0","2018","A","N","Bullock County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,"N",1,11.1,0,0,0,0,0,0,0,0,0,0,0,0
"01013","3","72","74","0","2018","A","N","Butler County, Alabama","Local Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",30.08,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","72","74","0","2018","A","","Butler County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",43,734,10187929,6007382,53243,267,13888,"",1.26,1.15,1.22,1.15,0.89,1.06,1.06,"",1,2.4,-5,-0.7,101293,1.0,-116818,-1.9,-4232,-7.4,5,1.9,239,1.8
"01015","1","72","74","0","2018","A","","Calhoun County, Alabama","Federal Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,24,440332,0,0,358,18606,"",19.61,8.10,8.33,0.00,0.00,1.04,1.04,"",0,0.0,1,4.3,6248,1.4,0,0.0,0,0.0,-1,-0.3,-64,-0.3
"01015","3","72","74","0","2018","A","N","Calhoun County, Alabama","Local Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",5.68,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
